,notebook_name,notebook_brand,notebook_model,product_code,price,currency,cpu_brand,cpu_gen,cpu_tech,cpu_no,cpu_speed,cpu_cores,ram_capacity,ram_type,ram_speed,monitor_size,monitor_hz,monitor_resolution,monitor_type,gpu_brand,gpu_chipset,disc_capacity,disc_type,os,weight
203,"
Lenovo Legion 9 13.Nesil Core i9 13980HX-RTX4090 16Gb-64Gb-2Tb Ssd-16inc-W11
",LENOVO,Legion 9,83AG000NTR,225.999,TL,Intel,13. Nesil,Core i9,13980HX,Turbo Boost 5.6 GHz,24,64 GB (2x32GB),DDR5,5600 MHz,16 inch,165 Hz,3200 x 2000,MiniLED,NVIDIA,RTX 4090,1 TB,NVMe SSD,Windows 11 Home 64,2.6 Kg.
204,"
Hp Victus 16-r1052n 14.Nesil Core i5 14500HX-RTX4050 6Gb-16Gb-1Tb-16.1inc-W11
",HP,Victus,9J254EA,53.135,TL,Intel,14. Nesil,Core i5,14500HX,Turbo Boost 4.9 GHz,14,16 GB (2x8GB),DDR5,5600 MHz,16.1 inch,144 Hz,1920 x 1080,IPS,NVIDIA,Rtx 4050,1 TB,NVMe SSD,Windows 11 Home 64,2.34 Kg.
205,"
Gigabyte Aero 16 13.Nesil Core i7 13700H-RTX4070 8Gb-16Gb-1Tb Ssd-16inc-W11
",GIGABYTE,Aero 16,BSF-73EE994SO,107.160,TL,Intel,13. Nesil,Core i7,13700H,Turbo Boost 5.0 GHz,14,16 GB,DDR5,4800 MHz,16 inch,60 Hz,3840 x 2400,4K,NVIDIA,RTX 4070,1 TB,NVMe SSD,Windows 11 Home 64,1.9 Kg.
206,"
Lenovo Yoga 7 Evo 13.Nesil Core i7 1360P-16Gb-512Gb Ssd-14inc-W11
",LENOVO,Yoga 7 Evo,82YL007JTX,41.999,TL,Intel,13. Nesil,Core i7,1360P,Turbo Boost 5.0 GHz,12,16 GB,LPDDR5,5200 MHz,14 inch,60 Hz,1920 x 1200,Dokunmatik,Intel,Intel® Iris Xe Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.49 Kg.
207,"
Acer Nitro 5 12.Nesil Core i5 12450H-RTX3050 4Gb-8Gb-512Gb Ssd-15.6inc-W11
",ACER,Nitro 5,AN515-58-571C,30.999,TL,Intel,Intel 12.Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,12,8 GB,DDR4,None,15.6 inch,None,1920 x 1080,LED,NVIDIA,RTX 3050,512 GB,SSD,Windows 11 Home 64,2.5 Kg.
208,"
Asus Vivobook 16 12.Nesil Core i5 1235U-8Gb-512Gb Ssd-16inc-W11
",ASUS,Vivobook 16,X1605ZA-MB053W,24.199,TL,Intel,12. Nesil,Core i5,1235U,Turbo Boost 4.4 GHz,10,8 GB,DDR4,None,16 inch,60 Hz,1920 x 1200,IPS,Intel,Intel UHD Graphics,512 GB,NVMe SSD,Windows 11 Home 64,1.88 kg.
209,"
Asus Vivobook 15 12.Nesil Core i5 1235U-8Gb-256Gb Ssd-15.6inc-W11
",ASUS,Vivobook 15,X1502ZA-EJ030W,21.311,TL,Intel,12. Nesil,Core i5,1235U,Turbo Boost 4.4 GHz,10,8 GB,DDR4,None,15.6 inch,None,1920 x 1080,LED,Intel,Intel UHD Graphics,256 GB,NVMe SSD,Windows 11 Home 64,1.7 Kg.
210,"
Acer Aspire 7 12.Nesil Core i5 1240P-RTX3050 4Gb-16Gb-512Gb Ssd-15.6inc-Freedos
",ACER,A715-51G-51MV,A715-51G-51MV,32.940,TL,Intel,12. Nesil,Core i5,1240P,Turbo Boost 4.4 GHz,12,16 GB,DDR4,None,15.6 inch,144 Hz,1920 x 1080,Full HD,NVIDIA,RTX 3050,512 GB,SSD,FreeDOS,2.1 Kg.
211,"
Hp 15-dw3052nt 11.Nesil Core i3 1125G4-4Gb-256Gb Ssd-15.6inc-W11 Notebook
",HP,793N9EA,793N9EA,16.210,TL,Intel,11. Nesil,Core i3,1125G4,Turbo Boost 3.7 GHz,4,4 GB,DDR4,3200 MHz,15.6 inch,None,1366 x 768,Mikro Kenarlı,Intel,Intel UHD Graphics,256 GB,NVMe SSD,Windows 11 Home 64,1.75 Kg.'dan başlar
212,"
Lenovo Ip Gaming 3 12.Nesil Core i5 12500H-RTX3050ti 4Gb-16Gb-512 Ssd-16inç-W11
",LENOVO,Ip Gaming 3,82SA0064TX,40.999,TL,Intel,12. Nesil,Core i5,12500H,Turbo Boost 4.5 GHz,12,16 GB,DDR4,3200 MHz,16 inch,165 Hz,1920 x 1200,IPS,NVIDIA,RTX 3050Ti,512 GB,NVMe SSD,Windows 11 Home 64,2.6 Kg.
213,"
MacBook Pro MPHJ3TU/A M2 Pro 16Gb-1Tb Ssd-Liquid Retina-14inc-Gümüş
",APPLE,MacBook Pro,MPHJ3TU/A,77.799,TL,Apple,None,M2 Pro,Paylaşılmıyor,Paylaşılmıyor,12,16 GB,Birleşik Bellek,None,14.2 inch,60 Hz,3024 x 1964,Retina,APPLE,None,1 TB,SSD,macOS Ventura,1.6 Kg.
214,"
MacBook Pro MNWD3TU/A M2 Pro 16Gb-1Tb Ssd-Liquid Retina-16inc-Gümüş
",APPLE,MacBook Pro,MNWD3TU/A,96.611,TL,Apple,None,M2 Pro,Paylaşılmıyor,None,12,16 GB,Birleşik Bellek,None,16.2 inch,60 Hz,3456 x 2234,Retina,APPLE,Paylaşılmıyor,1 TB,SSD,macOS Ventura,2.15 Kg.
215,"
Acer Aspire 3 11.Nesil Core i5 1135G7-8Gb-512Gb Ssd-15.6inc-Mx350 2Gb-Freedos
",ACER,Aspire 3,A315-58G-5839,22.760,TL,Intel,11. Nesil,Core i5,1135G7,2.4GHz Turbo Boost 4.2GHz,4,8 GB,DDR4,None,15.6 inch,None,1920 x 1080,LED,NVIDIA,MX350,512 GB,SSD,FreeDOS,1.12 Kg.
216,"
Lenovo Legion 7 11.Nesil Core i9 11980HK-RTX3080 16Gb-32Gb-2Tb Ssd-16inc-W11
",LENOVO,Legion 7,82K600BPTX,110.999,TL,Intel,11. Nesil,Core i9,11980HK,3.3 GHz Turbo Boost 5.0 GHz,8,32 GB (2x16GB),DDR4,3200 MHz,16 inch,165 Hz,2560 x 1600,Anti-Glare,NVIDIA,RTX 3080,2 TB,NVMe SSD,Windows 11 Home 64,2.5 Kg.
217,"
Omen By Hp 16-c0026nt 5.Nesil Ryzen 9 5900HX-32GB-1Tb-16.1inc-RX6600M 8GB-W11
",HP,556G6EA,556G6EA,63.093,TL,AMD,AMD Ryzen 5.Nesil,Ryzen™ 9,5900HX,3.3 GHz Turbo Boost 4.6 GHz,8,32 GB (2x16GB),DDR4,3200 MHz,16.1 inch,None,1920 x 1080,IPS,AMD,RX6600M,1 TB,M2 sata SSD,Windows 11 Home 64,2.31 Kg.
218,"
MacBook Air Z124M116512-TQ6 M1 16Gb-512Gb Ssd-Retina-13.3inc-Space Grey
",APPLE,Z124M116512-TQ6,Z124M116512-TQ6,49.399,TL,Apple,None,M1,Paylaşılmıyor,Paylaşılmıyor,8,16 GB,Birleşik Bellek,None,13.3 inch,None,2560 x 1600,Full HD,APPLE,Paylaşılmıyor,512 GB,SSD,Mac OS,Belirtilmemiş.
219,"
Msi Pulse 17 AI Core Ultra 9 185H-RTX4070 8Gb-32Gb-1Tb Ssd-17inc-W11
",MSI,Pulse 17,PULSE 17 AI C1VGKG-038TR,100.698,TL,Intel,None,Core Ultra 9,185H,Turbo Boost 5.1 GHz,16,32 GB,DDR5,None,17 inch,240 Hz,2560 x 1600,LCD,NVIDIA,RTX 4070,1 TB,NVMe SSD,Windows 11 Home 64,2.8 Kg.
220,"
Msi Cyborg 15 12.Nesil Core i5 12450H-RTX4060 8GB-16GB-512Gb Ssd-15.6inc-W11
",MSI,Cyborg 15,CYBORG 15 A12VF-676TR,41.599,TL,Intel,12. Nesil,Core i5,12450H,Turbo Boost 4.4 GHz,8,16 GB (2x8GB),DDR5,5200 MHz,15.6 inch,144 Hz,1920 x 1080,Full HD,NVIDIA,RTX 4060,512 GB,NVMe SSD,Windows 11 Home 64,1.98 Kg.
221,"
Lenovo Legion 9 13.Nesil Core i9 13980HX-RTX4080 12Gb-32Gb-1Tb Ssd-16inc-W11
",LENOVO,Legion 9,83AG000LTR,190.999,TL,Intel,13. Nesil,Core i9,13980HX,Turbo Boost 5.6 GHz,24,32 GB (2x16GB),DDR5,6400 MHz,16 inch,165 Hz,3200 x 2000,MiniLED,NVIDIA,RTX 4080,1 TB,NVMe SSD,Windows 11 Home 64,2.6 Kg.
